feature,coefficient,abs_coefficient
prev_address_months_count_is_missing,0.6713427432372786,0.6713427432372786
housing_status_BE,-0.5877982125125745,0.5877982125125745
has_other_cards,-0.5833459384999394,0.5833459384999394
housing_status_BC,-0.5406703462792507,0.5406703462792507
phone_home_valid,-0.540300799385868,0.540300799385868
device_os_windows,0.527783062982719,0.527783062982719
housing_status_BB,-0.49360195601131623,0.49360195601131623
keep_alive_session,-0.34473301373722703,0.34473301373722703
name_email_similarity,-0.30087194345404983,0.30087194345404983
email_is_free,0.2912260533069788,0.2912260533069788
income,0.273556171363668,0.273556171363668
housing_status_BF,-0.27231408455087225,0.27231408455087225
employment_status_CF,-0.22715639620195283,0.22715639620195283
credit_risk_score,0.21554842287457912,0.21554842287457912
payment_type_AC,0.21110002913866854,0.21110002913866854
date_of_birth_distinct_emails_4w,-0.21081621488482272,0.21081621488482272
employment_status_CB,-0.20794770888742556,0.20794770888742556
zip_count_4w,0.20377537874079377,0.20377537874079377
device_distinct_emails_8w_1,-0.17751884727618314,0.17751884727618314
intended_balcon_amount,-0.17607899837344831,0.17607899837344831
device_os_macintosh,0.16025422221268143,0.16025422221268143
customer_age,0.15500225075617002,0.15500225075617002
bank_months_count,0.1456768543024602,0.1456768543024602
phone_mobile_valid,-0.14350088711782552,0.14350088711782552
session_length_in_minutes_is_missing,-0.13266398306686866,0.13266398306686866
prev_address_months_count,0.1307584687577134,0.1307584687577134
employment_status_CE,-0.1168906034480359,0.1168906034480359
days_since_request,0.11556158287931954,0.11556158287931954
housing_status_BD,-0.11133749840250654,0.11133749840250654
payment_type_AD,0.10956434565757739,0.10956434565757739
device_os_other,0.10612558323764862,0.10612558323764862
housing_status_BG,-0.09950725001034895,0.09950725001034895
velocity_24h,0.09811027446919722,0.09811027446919722
proposed_credit_limit,0.0925603213598274,0.0925603213598274
employment_status_CD,-0.07963790148837901,0.07963790148837901
payment_type_AB,0.07497721424917304,0.07497721424917304
employment_status_CC,0.06769316060184999,0.06769316060184999
velocity_6h,-0.06738624350651468,0.06738624350651468
foreign_request,0.0630628577943079,0.0630628577943079
month,0.0472944819140694,0.0472944819140694
velocity_4w,-0.033837060724519294,0.033837060724519294
bank_months_count_is_missing,0.03377838477951079,0.03377838477951079
employment_status_CG,0.031938635532669665,0.031938635532669665
device_distinct_emails_8w_MISSING,-0.020800520147842262,0.020800520147842262
source_TELEAPP,0.017903773865941833,0.017903773865941833
payment_type_AE,0.016157166943640302,0.016157166943640302
current_address_months_count_is_missing,0.013514607179756707,0.013514607179756707
device_os_x11,-0.013364714936032729,0.013364714936032729
session_length_in_minutes,-0.012967468876530273,0.012967468876530273
device_distinct_emails_8w_2,0.011888521443886715,0.011888521443886715
bank_branch_count_8w,-0.007784413514019051,0.007784413514019051
current_address_months_count,0.0030840318111498635,0.0030840318111498635
